% Transportation data by me (E. Hedemalm, I. Panorel, A. Soderberg) when walking, bus and car.
% Internal name of the set.
@relation sensor

% Attributes.
% startTimeSecond,
% accMin, accMax, accAvg, accStdev,
% gyroMin, gyroMax, gyroAvg, gyroStdev,

@attribute startTimeSecond real

@attribute accMin real
@attribute accMax real
@attribute accAvg real
@attribute accStdev real

@attribute gyroMin real
@attribute gyroMax real
@attribute gyroAvg real
@attribute gyroStdev real

% transport
@attribute transport {Idle,Bus,Foot,Car,Bike,Train,Tram,Plane,Boat}

% Hedemalm E., Andreas S., Panorel I., Araujo V., Hedemalm D., Butterfield E., Zouzou, B. Hedemalm, B2. Hedemalm,  Reinhold B.,

% Panorel I.: Idle, Walking, Car

% startTimeSecond, accMin, accMax, accAvg, accStdev, gyroMin, gyroMax, gyroAvg, gyroStdev, transport
% DATA-START Bus data from a trip to the city-center.
% Data by,
@data
1487880675,6.530001,13.694841,9.797612,13.304134,0.06626081,4.17501,0.67515016,4.0,Idle
1487880680,7.632794,12.218437,9.729742,11.357817,0.05997875,0.9651885,0.38094816,0.0,Idle
1487880685,6.885451,11.808924,9.6768055,5.7445626,0.06281547,1.9713244,0.61639994,2.828427,Idle
1487880690,8.271339,11.332211,9.656541,3.6055512,0.033987332,1.726352,0.3698113,1.7320508,Idle
1487880695,8.096276,11.767291,9.65643,5.477226,0.015853962,1.385806,0.31677935,1.0,Idle
1487880700,8.860037,10.748237,9.662172,1.0,0.021786408,0.7355417,0.17729774,0.0,Bus
1487880705,7.934045,11.839735,9.718974,5.196152,0.03172292,1.2469653,0.27655303,0.0,Bus
1487880710,7.6164384,11.917845,9.724209,6.0,0.037862815,1.2437098,0.36647114,0.0,Bus
1487880715,8.363364,11.321994,9.7346115,5.196152,0.078096256,1.1620351,0.47058478,0.0,Bus
1487880720,4.646982,14.838742,10.116405,22.494444,0.16779785,6.9989033,1.3583843,10.29563,Bus
1487880725,4.8655486,23.408546,10.6412115,43.48563,0.18844339,8.418399,1.9063492,13.190906,Bus
1487880730,3.7064164,24.774376,10.260133,47.60252,0.18222342,4.2962847,1.563689,5.91608,Bus
1487880735,3.6747692,35.026085,10.417901,39.051247,0.007955743,8.098454,1.2552123,15.684387,Bus
1487880740,6.4162283,13.629311,9.960848,12.767145,0.004877111,0.106760174,0.02704693,0.0,Bus
1487880745,3.1747499,27.679026,10.072176,38.704006,0.010002809,8.872831,1.0815206,20.952328,Bus
1487880750,6.79242,12.548939,9.7364,14.798649,0.044937283,3.9166944,0.68700355,3.8729835,Bus
1487880755,7.400712,15.879898,9.777616,19.339079,0.10678073,2.8463223,0.6866404,3.1622777,Bus
1487880760,7.3739924,12.7462635,9.771436,11.7046995,0.050923865,1.8694003,0.4818063,2.0,Bus
1487880765,7.4805117,11.253702,9.797459,6.4031243,0.09359546,1.548781,0.50246066,1.0,Bus
1487880770,8.208398,10.902806,9.633,2.0,0.019227654,1.1689394,0.28004846,0.0,Bus
1487880775,8.585803,11.148433,9.645979,2.4494898,0.041142434,1.27034,0.34428614,0.0,Bus
1487880780,8.8100815,10.604406,9.640632,0.0,0.03380195,1.2198263,0.31396466,0.0,Bus
1487880785,8.8549795,10.567433,9.589912,0.0,0.018439695,0.7623909,0.18359457,0.0,Bus
1487880790,7.8923626,11.5590105,9.686433,6.0,0.045811545,2.1837642,0.4328452,2.0,Bus
1487880795,7.9202585,11.255796,9.731474,3.3166249,0.037309792,1.1855295,0.25798848,0.0,Bus
1487880800,7.504488,11.949548,9.704949,6.4807405,0.03500941,0.8861937,0.30174485,0.0,Bus
1487880805,6.924908,13.246711,9.761013,16.155495,0.08881873,1.3412275,0.37502185,0.0,Bus
1487880810,7.697551,12.8091955,9.694675,9.848858,0.043490477,1.3363875,0.32779163,1.0,Bus
1487880815,6.106516,13.54309,9.718098,15.684387,0.06322914,1.5512806,0.4845125,1.0,Bus
1487880820,7.03131,13.233937,9.729219,11.7046995,0.06631725,1.6989952,0.52523327,1.0,Bus
1487880825,7.540172,12.392472,9.7101755,9.746795,0.06709522,1.7602706,0.4994768,1.0,Bus
1487880830,6.524012,13.076504,9.629488,15.811388,0.09306765,5.982723,0.9334764,8.306623,Bus
1487880835,5.9387617,14.516882,9.624756,14.247807,0.0272829,5.287945,1.0078259,9.899495,Bus
1487880840,8.894076,10.589671,9.650279,0.0,0.016041763,0.9041777,0.2164017,0.0,Bus
1487880845,7.8729587,11.422087,9.613662,6.164414,0.025644673,0.59204304,0.20846146,0.0,Bus
1487880850,8.822523,10.3058605,9.639414,0.0,0.010781509,0.21762605,0.08603659,0.0,Bus
1487880855,8.027155,11.8586645,9.771596,8.185352,0.009016524,0.61094457,0.17531738,0.0,Bus
1487880860,6.795195,15.85318,9.809094,18.654758,0.04265391,1.7654661,0.43136638,1.7320508,Bus
1487880865,8.19933,12.080533,9.641988,5.656854,0.086283736,1.4152194,0.5452339,0.0,Bus
1487880870,8.231159,11.615117,9.648389,4.8989797,0.041964304,1.4483024,0.43446052,1.0,Bus
1487880875,8.413209,10.863951,9.638389,2.236068,0.017127037,1.3552408,0.24929646,1.0,Bus
1487880880,8.720234,11.558292,9.6636,3.0,0.044557363,1.093297,0.29774293,0.0,Bus
1487880885,8.044529,11.196565,9.679604,5.0990195,0.03280378,1.36386,0.42957208,0.0,Bus
1487880890,7.5790915,14.69684,9.739884,11.445523,0.03777485,1.3672402,0.33517218,1.0,Bus
1487880895,8.573376,10.720386,9.71017,1.7320508,0.05570998,1.4601164,0.37357032,1.0,Bus
1487880900,8.740017,10.339756,9.65121,0.0,0.02472631,2.3039181,0.34530598,2.236068,Bus
1487880906,8.680429,10.619835,9.671007,0.0,0.04502669,1.1570336,0.30555046,0.0,Bus
1487880911,8.873535,10.978926,9.764983,1.7320508,0.04894058,1.5600893,0.45100254,1.0,Bus
1487880916,7.534215,12.332732,9.654842,8.602325,0.120771386,1.8950313,0.65359235,2.4494898,Bus
1487880921,7.1797376,13.109073,9.656397,11.874342,0.027568419,1.3206462,0.40393052,0.0,Bus
1487880926,7.2744403,12.864321,9.780968,10.148891,0.08964032,1.4654597,0.4667431,0.0,Bus
1487880931,7.51214,12.981256,9.735108,9.69536,0.085191734,1.9160842,0.45742768,1.7320508,Bus
1487880936,5.686652,17.744415,9.640279,16.52271,0.08113053,3.4971914,0.87752724,6.5574384,Bus
1487880941,3.4909537,15.307921,8.959557,19.104973,0.0104820775,3.652347,0.9006225,6.4807405,Bus
1487880946,8.062827,9.768131,8.703056,1.0,0.0020052395,0.6734353,0.037440512,0.0,Bus
1487880951,8.550625,8.840625,8.692977,0.0,7.2523404E-4,0.053965893,0.010754782,0.0,Bus
1487880956,6.6637554,17.365559,9.153658,16.309507,0.0023495562,8.475971,1.1934555,15.132746,Bus
1487880961,6.995034,12.505634,9.762867,12.489996,0.1210837,2.82472,0.9584305,2.4494898,Bus
1487880966,8.3650875,11.50633,9.664971,2.6457512,0.04418898,1.248954,0.36399093,0.0,Bus
1487880971,9.217348,10.003635,9.632828,0.0,0.015062156,1.0642463,0.19800402,0.0,Bus
1487880976,9.256215,10.125258,9.573438,0.0,0.00440144,1.0713221,0.16496168,0.0,Bus
1487880981,8.113816,12.0784645,9.588051,3.6055512,0.008730948,1.7299716,0.232274,2.0,Bus
1487880986,9.344456,10.0307,9.592373,0.0,0.004224508,0.2855682,0.043224324,0.0,Bus
1487880991,8.645203,11.262119,9.700559,2.236068,0.011031102,0.8081801,0.1942614,0.0,Bus
1487880996,6.725156,13.123823,9.785506,13.638182,0.12409367,1.3646073,0.52354044,0.0,Bus
1487881001,6.829669,12.019544,9.650398,10.099504,0.02105835,2.6755426,0.4396576,2.4494898,Bus
1487881006,8.348802,11.407686,9.675545,5.2915025,0.02998175,1.1245425,0.31008494,0.0,Bus
1487881011,7.98411,12.44669,9.6865635,8.485281,0.036108837,0.8125088,0.1875189,0.0,Bus
1487881016,7.044133,13.018172,9.692541,12.328828,0.036349665,1.7766283,0.43179548,1.0,Bus
1487881021,8.549916,11.139786,9.661173,2.4494898,0.011814757,0.63640714,0.20903067,0.0,Bus
1487881026,8.857765,10.1836405,9.661689,0.0,0.011712917,0.69434404,0.14587152,0.0,Bus
1487881031,9.433343,9.906089,9.668315,0.0,0.006995535,0.20137754,0.051235177,0.0,Bus
1487881036,9.2678,10.13441,9.646902,0.0,0.0040872484,0.22999531,0.041465614,0.0,Bus
1487881041,9.409852,9.896108,9.657621,0.0,0.009779455,0.1387323,0.033003904,0.0,Bus
1487881046,9.388405,9.926639,9.650577,0.0,0.002184193,0.16098821,0.030483596,0.0,Bus
1487881051,9.352052,9.8641405,9.6398115,0.0,0.00451771,0.12459584,0.04074235,0.0,Bus
1487881056,8.042982,10.80952,9.607265,2.6457512,0.00881892,2.1301665,0.40142062,3.7416575,Bus
1487881061,8.110168,10.728991,9.616119,1.7320508,0.0023004871,1.6060821,0.15831809,2.236068,Bus
1487881066,8.865301,10.263875,9.630994,0.0,0.008006387,0.8340723,0.09346542,0.0,Bus
1487881071,9.180056,10.057917,9.620247,0.0,0.009312625,0.4994637,0.13746978,0.0,Bus
1487881076,8.882263,10.509052,9.630011,0.0,0.0134604145,1.0937092,0.2144405,0.0,Bus
1487881081,8.981495,10.315089,9.622067,0.0,0.0175503,0.9331014,0.20428775,0.0,Bus
