% Transportation data by me (E. Hedemalm, I. Panorel, A. Soderberg) when walking, bus and car.
% Internal name of the set.
@relation sensor

% Attributes.
% startTimeSecond,
% accMin, accMax, accAvg, accStdev,
% gyroMin, gyroMax, gyroAvg, gyroStdev,

@attribute startTimeSecond real

@attribute accMin real
@attribute accMax real
@attribute accAvg real
@attribute accStdev real

@attribute gyroMin real
@attribute gyroMax real
@attribute gyroAvg real
@attribute gyroStdev real

% transport, PlaneT(axi) -> Bus, PlaneC, PlaneL -> Plane
@attribute transport {Idle,Bus,Foot,Car,Bike,Train,Tram,Subway,Boat,Plane}

% Hedemalm E., Andreas S., Panorel I., Araujo V., Hedemalm D., Butterfield E., Zouzou, B. Hedemalm, B2. Hedemalm,  Reinhold B.,  K. Wängberg,

% Panorel I.: Idle, Walking, Car

% startTimeSecond, accMin, accMax, accAvg, accStdev, gyroMin, gyroMax, gyroAvg, gyroStdev, transport
% DATA-START Bus data from a trip to the city-center.
% Data by,
@data
1490766445,6.5107265,13.8849,10.059735,15.033297,0.015063053,7.3676805,1.4312952,15.0996685,Idle
1490766450,7.6767316,12.135819,9.82282,5.8309517,0.023453677,4.005026,0.4018256,6.5574384,Idle
1490766455,4.353264,12.572459,9.475552,14.142136,0.012943033,3.165375,0.7495802,5.0,Idle
1490766460,7.135794,13.121674,8.907264,7.937254,0.017979717,4.218299,0.5077474,3.8729835,Idle
1490766465,7.918252,10.15205,8.89468,1.4142135,0.06999582,1.2229617,0.3855738,0.0,Idle
1490766470,7.918303,10.858855,8.947204,4.358899,0.060142383,0.84148353,0.3414589,0.0,Idle
1490766475,7.9207616,11.127319,8.978906,4.472136,0.019738423,0.5169514,0.15861858,0.0,Idle
1490766480,8.058442,10.452251,8.926357,1.4142135,0.02036743,0.35057554,0.09842871,0.0,Idle
1490766485,8.2167015,10.6059,8.952244,2.236068,0.01079284,0.20011178,0.07225561,0.0,Idle
1490766491,8.540878,9.927749,8.960544,0.0,0.0029453416,0.20802346,0.07470009,0.0,Idle
1490766496,8.704041,9.281096,8.946911,0.0,0.012352318,0.26087824,0.12171174,0.0,Idle
1490766501,8.66592,9.29473,8.959544,0.0,0.006186757,0.35555485,0.13768317,0.0,Idle
1490766506,8.438255,9.409135,8.902704,0.0,0.010752283,0.42413765,0.15941462,0.0,Idle
1490766511,7.793318,10.54838,8.764587,2.6457512,0.0098122675,0.83106023,0.26521423,0.0,Idle
1490766516,8.592675,8.812268,8.710514,0.0,0.011094839,0.089716986,0.040596105,0.0,Idle
1490766521,8.369797,9.124264,8.700048,0.0,0.026038036,0.45711035,0.20217396,0.0,Idle
1490766526,8.282435,8.94013,8.67533,0.0,0.012107106,0.3495685,0.13934837,0.0,Idle
1490766531,8.592951,8.749027,8.667668,0.0,0.0044600843,0.2215347,0.06421061,0.0,Idle
1490766536,8.085387,9.679932,8.680666,0.0,0.009942644,1.1121781,0.25296962,0.0,Idle
1490766541,7.6935387,9.923293,8.70324,1.4142135,0.02139293,0.6312747,0.22309661,0.0,Idle
1490766546,7.6789484,9.360931,8.64449,0.0,0.015795648,1.0220375,0.2013821,0.0,Idle
1490766551,8.064966,9.154834,8.661643,0.0,0.021448676,0.73554915,0.2463689,0.0,Idle
1490766556,8.361917,8.945153,8.650545,0.0,0.011566454,0.23645806,0.08243168,0.0,Idle
1490766561,8.56967,8.716805,8.647669,0.0,0.0035340488,0.09913707,0.028244939,0.0,Idle
1490766566,8.377274,8.817446,8.627209,0.0,0.0067061814,0.29958904,0.07479637,0.0,Idle
1490766572,6.042966,12.75796,8.707181,8.83176,0.18826726,2.3317287,0.7353213,2.4494898,Idle
1490766577,6.568215,12.98901,8.718841,10.488089,0.1876864,1.9043486,0.9259002,0.0,Idle
1490766582,7.3912134,9.428176,8.60302,1.4142135,0.036899507,1.4774896,0.36025771,1.7320508,Idle
1490766587,8.31608,8.884179,8.554941,0.0,0.008337836,0.39407116,0.14547682,0.0,Idle
1490766592,8.264579,8.913762,8.542571,0.0,0.016753212,0.2212959,0.08649661,0.0,Idle
1490766597,8.30244,8.8506775,8.538934,0.0,0.0073284456,0.20038027,0.06060118,0.0,Idle
1490766602,8.44819,8.77585,8.542538,0.0,0.005596066,0.24890156,0.07099094,0.0,Idle
1490766607,8.278142,9.046081,8.545975,0.0,0.0039189253,0.24867012,0.11399408,0.0,Idle
1490766612,8.387852,8.752041,8.532767,0.0,0.0053025335,0.28383553,0.10814328,0.0,Idle
1490766617,8.371391,8.758921,8.536645,0.0,0.009103157,0.3545343,0.122144885,0.0,Idle
1490766622,8.435836,8.745271,8.54011,0.0,0.00827969,0.213715,0.07044752,0.0,Idle
1490766627,8.296239,8.791005,8.536849,0.0,0.0019374456,0.3302373,0.115356,0.0,Idle
1490766632,8.390037,8.686745,8.543866,0.0,0.0065349317,0.2786239,0.12342846,0.0,Idle
1490766637,7.7520237,10.146488,8.57999,2.236068,0.03258965,1.2207701,0.29948172,0.0,Idle
1490766642,8.108974,9.067102,8.568014,0.0,0.01488059,0.7920999,0.26807517,0.0,Idle
1490766647,8.405993,8.754381,8.557181,0.0,0.026931806,0.635278,0.34799773,0.0,Idle
1490766653,8.338045,8.834373,8.559994,0.0,0.02459829,0.62144244,0.3364259,0.0,Idle
1490766658,8.202101,8.869419,8.563067,0.0,0.015982043,0.95475763,0.32225725,0.0,Idle
1490766663,8.435227,8.799109,8.574961,0.0,0.017646715,0.9126561,0.3893615,0.0,Idle
1490766668,8.289234,8.773318,8.566857,0.0,0.031036066,0.63608617,0.32183078,0.0,Idle
1490766673,7.665552,9.827828,8.7134905,2.0,0.018720848,0.69092005,0.29704696,0.0,Idle
1490766678,8.082812,9.388563,8.823528,0.0,0.015554043,0.8158951,0.43430337,0.0,Idle
1490766683,8.585065,8.887977,8.755947,0.0,0.00791237,0.44517896,0.12269771,0.0,Idle
1490766688,8.465216,9.130213,8.771248,0.0,0.004391484,0.28510225,0.056534752,0.0,Idle
1490766693,8.67359,8.895901,8.752441,0.0,0.0036390533,0.20094378,0.07548837,0.0,Idle
1490766698,8.5321245,8.963548,8.751154,0.0,0.0050190054,0.30301958,0.11884557,0.0,Idle
1490766703,7.70387,9.628904,8.640513,0.0,0.025090916,1.0895275,0.32854557,0.0,Idle
1490766708,6.6075788,10.990376,8.590901,5.2915025,0.029393703,1.26409,0.45747352,0.0,Idle
1490766713,6.608783,12.222377,8.584272,6.244998,0.01543639,1.6090753,0.46289808,2.236068,Idle
1490766719,6.7008386,12.120792,8.598322,8.5440035,0.2014062,1.7727028,0.72952276,1.0,Idle
1490766724,7.102379,11.124795,8.610514,4.582576,0.0779597,1.7747945,0.5242499,1.7320508,Idle
1490766729,8.100655,8.920991,8.508142,0.0,0.012071978,0.6384983,0.11330788,0.0,Idle
1490766734,8.157733,8.928195,8.514254,0.0,0.019505043,0.36680385,0.1274276,0.0,Idle
1490766739,8.031435,9.588959,8.506113,1.0,0.052555103,0.59836143,0.25051197,0.0,Idle
1490766744,8.223341,8.743934,8.499008,0.0,0.011777809,0.44300053,0.20010504,0.0,Idle
1490766749,8.030122,9.237461,8.539055,0.0,0.01681974,0.64093006,0.20777531,0.0,Idle
1490766754,7.852102,9.113774,8.513419,0.0,0.010503789,0.96884245,0.23383595,0.0,Idle
